filename,extension,size_mb,is_scanned,strategy,pii_fields
1f765f3d-4101-4596-aee3-4d5481692c081. Solicitud_coope_fase 2.pdf,.pdf,1.5748538970947266,False,PyMuPDF,0
c7cd8950-49bc-4dc1-9a2b-70e73862f6adJ01. Informe justificativo-202.pdf,.pdf,0.19044208526611328,False,PyMuPDF,0
88ccfd11-cbd0-401f-b0fc-68559b359aaf4. IMS345 CIE.pdf,.pdf,0.7875127792358398,False,PyMuPDF,0
1775ab7a-ba5f-40eb-ab43-895623ea2a0eLIBRO SUBCONTRATACION LA PABLO 1-TRAMITADO.pdf,.pdf,0.07026481628417969,False,PyMuPDF,0
3a8c907a-592a-4ce9-b500-86da154baa502. AU085-6 DR_firmado.pdf,.pdf,0.2708415985107422,False,PyMuPDF,0
ebce0c41-3070-4705-867f-2370a79ac7d25. LRE055 Solicitud IRVE.pdf,.pdf,1.0020923614501953,False,PyMuPDF,0
8c38a784-ff09-40c0-9910-fca9332cbc30J01. Informe justificativo-197.pdf,.pdf,0.19045543670654297,False,PyMuPDF,0
89c41275-6ae0-4836-9f24-bdb3b6e7b2c6H3A_CEE_V1_FD.pdf,.pdf,0.3089008331298828,False,PyMuPDF,0
a00896ad-177d-46c1-9cb5-be38d0044b59J01P2-1.pdf,.pdf,0.1849212646484375,False,PyMuPDF,0
781de369-d534-45e0-8d7a-493f4f9affa0LRE041 just_registro_16-12-24.pdf,.pdf,1.0217342376708984,False,PyMuPDF,0
b8fc6b6b-8feb-4fa6-82c2-74fb85bc14aa4. CIE 3kW JA-IMS.pdf,.pdf,0.21350383758544922,False,PyMuPDF,0
89424c6e-4e3c-4c5d-9d1c-9f726b58e0f42. Solicitud_CIE_MTD_Anexo.pdf,.pdf,1.3542871475219727,False,PyMuPDF,0
d949f633-9895-48af-b751-37d278e106d64. C217 CIE.pdf,.pdf,0.7888803482055664,False,PyMuPDF,0
673eb694-65cd-4e92-b2c8-298779a54cdbIMS302 Just registro_01-03-202.pdf,.pdf,1.0223026275634766,False,PyMuPDF,0
cbfe3e87-936c-4a8e-aec4-c49b41ba4459J01_LPR1000-4-fd.pdf,.pdf,0.26383399963378906,False,PyMuPDF,0
0e4ce78b-fb4c-4c23-86c9-69ae37e0590cIMS317_1erCEE_V1_fd.pdf,.pdf,0.2887248992919922,False,PyMuPDF,0
d9024afe-155b-4a81-83b6-4c0c4b6f9766E4B_CEE_V2_fd.pdf,.pdf,0.30969715118408203,False,PyMuPDF,0
